player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Year,Category,smart_id,college_conference,college_name,draft_club,draftround,draft_number,rookie_year,season
wesley woodyard,4583,LB,TEN,18,29,0,72.9,0,0,31,2,1,48.4,65.1,86.7,62.4,82.9,77.1,4,17,0,0,32,8.5,13,4,1,98.1,70,6,0,948,24,599,1153,82,0,0,82,0,16,1071,144,410,83,60,111,11,96,27,2,653,481,9.3,2017,Defense,3200574f-4f71-1929-9a59-25fd2a4b7d6c,Southeastern Conference,Kentucky,NA,UDFA,NA,2008,10
cameron wake,4907,ED,MIA,16,8,0,75,1,0,17,0,0,52.8,75,49.9,81.5,65.2,77.6,15,36,0,0,20,10.3,3,0,5,104.2,3,11,0,1,0,17,610,609,0,2,594,13,0,1,395,198,0,17,18,1,4,62,0,38,22,12.7,2017,Defense,32005741-4b15-5481-3b62-171f355e7a44,Big Ten Conference,Penn State,NA,UDFA,NA,2005,13
brian orakpo,4936,ED,TEN,18,6,0,75,0,2,31,0,0,69.1,78.2,90,75,65.8,89.1,12,41,0,0,17,7.7,3,0,0,83.7,9,11,0,98,2,117,938,815,0,0,814,1,0,123,523,298,23,30,30,2,12,64,0,55,26,6.1,2017,Defense,32004f52-4135-5963-2688-ddef43f8e731,Big Twelve Conference,Texas,WAS,1,13,2009,9
malcolm jenkins,4937,S,PHI,19,11,0,70.9,0,1,24,1,0,74.3,74.5,85.2,56.9,74.4,75,4,5,0,2,46,10.2,10,4,1,91.2,61,1,0,486,44,743,1151,94,0,0,94,0,204,1057,59,349,323,34,77,4,86,10,3,580,366,9.5,2017,Defense,32004a45-4e37-2222-54a5-49c78979aed5,Big Ten Conference,Ohio State,NO,1,14,2009,9
vontae davis,4948,CB,IND,5,5,0,59.3,0,0,14,0,0,53.4,58.3,84.9,58.5,77.4,86.5,0,0,0,0,41,0,0,2,0,98.7,16,0,0,23,287,187,330,0,0,0,0,0,0,330,1,142,20,2,15,0,27,0,1,226,27,14.1,2017,Defense,32004441-5678-6545-e92c-b51c5b8201f1,Big Ten Conference,Illinois,MIA,1,25,2009,9
clay matthews,4949,ED,GB,14,6,1,81.8,0,1,12,1,0,57.7,80,53.9,73.1,81.5,74.8,11,18,0,0,31,8.3,3,1,3,139.8,9,10,0,99,0,43,656,547,0,0,547,0,0,109,356,257,10,20,27,5,11,39,1,113,84,12.6,2017,Defense,32004d41-5453-8690-7264-e9a996661ff9,Pacific Ten Conference,Southern California,GB,1,26,2009,9
ziggy hood,4955,NT,WAS,15,3,0,NA,0,0,32,0,0,57.8,40.6,61.2,54.9,38.4,53.3,1,13,0,0,NA,16.7,4,0,2,0,0,0,0,1,0,3,539,538,246,228,4,60,0,1,262,274,0,8,17,0,0,14,0,0,0,NA,2017,Defense,3200484f-4f07-1327-4e0c-1c6cce82db06,Big Twelve Conference,Missouri,PIT,1,32,2009,9
patrick chung,4957,S,NE,19,10,0,67.3,0,0,19,2,0,73.6,70,71.6,60.9,60.6,76.6,3,4,0,1,39,8.8,9,9,2,91.4,72,0,0,396,118,698,1127,137,0,0,137,0,71,990,40,389,405,27,83,3,107,7,3,713,345,9.9,2017,Defense,32004348-5512-6772-6a67-78cc38f9fd9d,Pacific Ten Conference,Oregon,NE,2,34,2009,9
connor barwin,4969,ED,LA,15,8,0,60,0,0,26,1,0,66,58.1,90.9,51.8,58.5,52.4,6,20,0,0,5,15.8,6,0,0,64.6,3,5,0,15,5,87,722,684,0,1,683,0,0,38,371,264,18,21,24,2,5,31,0,5,6,1.7,2017,Defense,32004241-5281-1942-db42-58b1bdcf19d2,Big East,Cincinnati,HOU,2,46,2009,9
mike mitchell,4970,FS,PIT,14,13,0,46.2,0,0,25,1,0,61.3,64.9,56.2,49.9,74.1,66,1,1,0,0,34,13.4,9,2,1,101.8,6,0,0,64,1,430,738,10,0,0,10,0,653,728,3,305,10,6,45,1,13,2,1,111,13,18.5,2017,Defense,32004d49-5456-0825-73a7-ff76dd14310b,Mid-American Conference,Ohio U.,OAK,2,47,2009,9
michael johnson,4993,ED,CIN,15,11,0,0,1,0,7,0,0,72.9,69.2,81.8,56.3,67.2,60.6,3,15,0,0,NA,8.5,4,0,1,39.6,0,5,0,7,0,12,685,676,10,163,425,78,0,9,364,309,2,28,32,5,1,23,0,0,0,NA,2017,Defense,32004a4f-4800-0003-e3a8-00d483b4672f,Atlantic Coast Conference,Georgia Tech,CIN,3,70,2009,9
glover quin,5035,FS,DET,16,14,0,69.6,0,4,11,1,0,91.3,90.6,88.5,59.5,79,68,0,0,1,3,20,13.3,13,1,0,55.4,16,0,0,255,10,630,1053,32,0,0,32,0,618,1021,15,408,138,27,71,6,23,0,1,113,65,7.1,2017,Defense,32005155-4936-0604-34b1-ea9a6a37750f,Mountain West Conference,New Mexico,HOU,4,112,2009,9
jason mccourty,5127,CB,CLV,14,6,0,67.5,1,2,8,0,0,73.5,76.3,71.6,69,82.5,88.8,0,2,1,3,46,3,2,8,4,95.8,56,0,0,67,790,512,899,10,0,0,10,0,1,889,4,383,31,22,58,4,83,2,5,646,197,11.5,2017,Defense,32004d43-4360-0480-1be9-f1c35ef61ff0,Big East,Rutgers,TEN,6,203,2009,9
captain munnerlyn,5140,SLOT,CAR,15,3,0,78.9,0,0,5,0,0,60.4,58.9,85.8,51.2,58.2,61,1,5,0,0,52,12.9,4,3,0,117.4,30,2,0,14,2,294,404,54,0,0,54,0,1,350,57,53,333,9,24,1,38,8,1,383,205,12.8,2017,Defense,32004d55-4e47-2912-4525-c6623a1e7371,Southeastern Conference,South Carolina,CAR,7,216,2009,9
ricky jean francois,5168,DI,NE,15,4,0,NA,0,0,19,0,0,NA,70.9,52.4,48.3,80.9,74,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,206,206,15,156,4,31,0,0,93,113,0,10,10,1,0,1,0,0,0,NA,2017,Defense,32004a45-4141-8291-e01c-83765eb84ceb,Southeastern Conference,LSU,SF,7,244,2009,9
clinton mcdonald,5173,DI,TB,14,6,1,NA,0,0,30,0,0,71.4,54.2,60.5,62.8,43.9,52.9,4,10,0,0,NA,10.7,3,0,2,0,0,5,0,1,0,5,460,459,78,362,0,19,0,1,274,181,0,16,19,1,0,19,0,0,0,NA,2017,Defense,32004d43-4424-2013-d058-38a6f5f3ef39,Conference USA,Memphis,CIN,7,249,2009,9
steve mclendon,5232,NT,NYJ,16,9,0,NA,0,0,22,0,0,69.2,81,59,63.1,83.7,72.9,1,12,0,0,NA,4.3,2,0,2,0,0,2,0,0,0,0,488,488,199,277,4,8,0,0,241,247,0,34,35,6,0,15,0,0,0,NA,2017,Defense,32004d43-4c58-9496-173d-63622d601895,Sun Belt Conference,Troy,NA,UDFA,NA,2009,9
michael bennett,5273,ED,SEA,16,6,1,NA,3,0,29,0,0,60,63.2,0,68.1,69.1,46.1,16,44,0,0,NA,18.2,8,0,15,0,0,10,0,2,0,1,931,929,7,130,577,215,0,2,578,352,0,32,30,10,0,70,0,0,0,NA,2017,Defense,32004245-4e38-4391-8392-8d07ba42fc4c,Big Twelve Conference,Texas A&M,NA,UDFA,NA,2009,9
ramon humber,5310,LB,BUF,14,23,0,79.6,0,1,4,0,0,42.9,50.1,61.2,63.4,59.8,54.4,3,1,0,0,16,13.5,13,1,1,102.4,39,1,0,420,10,318,629,117,0,0,117,0,2,512,54,257,80,38,60,8,49,5,2,260,197,6.7,2017,Defense,32004855-4d02-9529-f9b3-e218e0b0e88b,Missouri Valley Football Conference,North Dakota State,NA,UDFA,NA,2009,9
ndamukong suh,5527,DI,MIA,16,17,2,NA,6,2,17,0,0,69.2,85.6,0,75.2,90.6,58.2,8,30,0,0,NA,7.8,4,0,13,0,0,5,0,18,0,6,877,859,51,604,28,176,0,18,534,337,0,27,30,6,0,43,0,0,0,NA,2017,Defense,32005355-4804-6142-1974-e53b4236da9c,Big Twelve Conference,Nebraska,DET,1,2,2010,8
